timestamp,power_kw,temperature_c,apparent_temperature_c,relative_humidity_pct,wind_gust_ms,solar_altitude_deg,ghi,dhi,uv,hour_of_day,is_potential_shutdown,is_daytime,weather_score
2026-06-09 00:00:00,-0.09110077453670513,-3.099913394019019,-1.931146385854821,-1.1236585873430973,1.1079248631796585,-1.2649965830027654,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,0,0,0,-0.06625712201344165
2026-06-09 00:15:00,-0.09110077453670513,-3.1929739050914274,-1.951222841339972,-1.1236585873430973,1.1079248631796585,-1.2720857445349318,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,0,0,0,-0.06625712201344165
2026-06-09 00:30:00,-0.09110077453670513,-3.1929739050914274,-1.951222841339972,-1.1236585873430973,1.1079248631796585,-1.2791749060670987,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,0,0,0,-0.06625712201344165
2026-06-09 00:45:00,-0.09110077453670513,-3.2875623297082788,-1.991375752310273,-1.187784779445363,1.1079248631796585,-1.2862640675992651,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,0,0,0,-0.06625712201344165
2026-06-09 01:00:00,-0.09110077453670513,-3.3837100256691373,-1.991375752310273,-1.187784779445363,1.1079248631796585,-1.2957162829754874,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,1,0,0,0.5593838989659423
2026-06-09 01:15:00,-0.09110077453670513,-3.3837100256691373,-1.991375752310273,-1.187784779445363,1.0522036575710487,-1.2744487983789874,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,1,0,0,-0.06625712201344165
2026-06-09 01:30:00,-0.09110077453670513,-3.3837100256691373,-1.991375752310273,-1.187784779445363,0.9952013931381567,-1.2555443676265432,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,1,0,0,-0.06625712201344165
2026-06-09 01:45:00,-0.09110077453670513,-3.3837100256691373,-1.991375752310273,-1.187784779445363,0.9368577766037168,-1.2366399368740986,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,1,0,0,-0.06625712201344165
2026-06-09 02:00:00,-0.09110077453670513,-3.3837100256691373,-1.991375752310273,-1.187784779445363,0.8771081553254815,-1.2177355061216544,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,2,0,0,-0.06625712201344165
2026-06-09 02:15:00,-0.09110077453670513,-3.2875623297082788,-1.991375752310273,-1.2490292916776071,0.8466845920433569,-1.1752005369286542,-0.6565626717551798,-1.0015497691102049,-0.5893916416453575,2,0,0,-0.06625712201344165
